Component,Type,Carrier,Existing Capacity,Capacity Potential,Optimizable,Optimized Capacity
coal-pp-KA,conversion,coal,0,inf,False,
coal-pp-UZ,conversion,coal,0,inf,False,
oil-pp-KA,conversion,coal,5,inf,False,
oil-pp-UZ,conversion,coal,260,inf,False,
coal-KA,dispatchable,coal,0,inf,True,0.0
coal-UZ,dispatchable,coal,0,inf,True,0.0
oil-KA,dispatchable,coal,0,inf,True,0.0
oil-UZ,dispatchable,coal,0,inf,True,0.0
h2-ely-KA,conversion,electricity,1000,inf,True,0.0
h2-ely-UZ,conversion,electricity,700,inf,True,0.0
re-conv-KA,conversion,electricity,0,inf,True,5023.704
re-conv-UZ,conversion,electricity,0,inf,True,24992.717
gas-pp-KA,conversion,gas,7626,inf,False,
gas-pp-UZ,conversion,gas,13400,inf,False,
gas-KA,dispatchable,gas,0,inf,True,15887.5
gas-UZ,dispatchable,gas,0,inf,True,18908.768
h2-fuel-cell-KA,conversion,h2,0,inf,True,0.0
h2-fuel-cell-UZ,conversion,h2,0,inf,True,0.0
hydro-KA,volatile,hydro,2840,inf,False,
hydro-UZ,volatile,hydro,3800,inf,False,
pv-KA,volatile,solar,1246,inf,True,0.0
pv-UZ,volatile,solar,5000,inf,True,13092.717
wind-KA,volatile,wind,1068,inf,True,0.0
wind-UZ,volatile,wind,3000,inf,True,0.0
demand-KA,load,,,,,
electricity-excess-KA,excess,,,,,
demand-UZ,load,,,,,
electricity-excess-UZ,excess,,,,,
elec-conn-UZ-KA,link,,,,False,
