bus,direction,asset,carrier,facade_type,2019-01-01 00:00:00,2019-01-01 01:00:00,2019-01-01 02:00:00,2019-01-01 03:00:00,2019-01-01 04:00:00,2019-01-01 05:00:00,2019-01-01 06:00:00,2019-01-01 07:00:00,2019-01-01 08:00:00,2019-01-01 09:00:00,2019-01-01 10:00:00,2019-01-01 11:00:00,2019-01-01 12:00:00,2019-01-01 13:00:00,2019-01-01 14:00:00,2019-01-01 15:00:00,2019-01-01 16:00:00,2019-01-01 17:00:00,2019-01-01 18:00:00,2019-01-01 19:00:00,2019-01-01 20:00:00,2019-01-01 21:00:00,2019-01-01 22:00:00,2019-01-01 23:00:00,2019-01-02 00:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,capacity_total,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total
elec-bus,in,battery-storage,electricity,storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.8,,0.0,44941.41,0.0,1.0,0.0,0.92,338000.0,10140.0,15.0,0.0,0.0,0.0,0.0,
elec-bus,in,demand,electricity,load,30.3888,29.82,29.82,29.25,30.962400000000002,34.402499999999996,39.5628,39.5628,36.696000000000005,34.9758,34.402499999999996,34.402499999999996,34.402499999999996,34.402499999999996,34.402499999999996,34.9758,38.4162,41.856300000000005,42.429899999999996,41.856300000000005,42.429899999999996,41.856300000000005,38.4162,34.402499999999996,,,29.25,42.429899999999996,864.0930000000001,,,,,,,,,,,,,,,,
elec-bus,in,electricity-excess,electricity,excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
elec-bus,out,battery-storage,electricity,storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.8,,0.0,44941.41,0.0,1.0,0.0,0.92,338000.0,10140.0,15.0,0.0,0.0,0.0,0.0,0.0
elec-bus,out,gas-pp,electricity,conversion,30.3888,29.82,29.82,29.25,30.9624,34.4025,39.5628,39.5628,36.696,34.9758,34.4025,34.4025,34.4025,34.4025,34.4025,34.9758,38.4162,41.8563,42.4299,41.8563,42.4299,41.8563,38.4162,34.4025,,,29.25,42.4299,864.0930000000001,1.5,0.0,96629.94,,50.0,0.0,,0.48,975000.0,11625.0,20.0,,,,,1296.1395000000002
elec-bus,out,hydro,electricity,volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,190192.3,,0.0,1.0,,,2150000.0,47300.0,40.0,0.0,0.0,0.0,0.0,0.0
elec-bus,out,pv,electricity,volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,86781.36,,0.0,1.0,,,1050000.0,10500.0,30.0,0.0,0.0,0.0,0.0,0.0
elec-bus,out,wind,electricity,volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,146288.96,,0.0,1.0,,,1362500.0,27500.0,20.0,0.0,0.0,0.0,0.0,0.0
gas-bus,in,gas-pp,gas,conversion,63.31,62.125,62.125,60.9375,64.505,71.671875,82.4225,82.4225,76.45,72.86625,71.671875,71.671875,71.671875,71.671875,71.671875,72.86625,80.03375,87.200625,88.395625,87.200625,88.395625,87.200625,80.03375,71.671875,,,60.9375,88.395625,1800.19375,1.5,0.0,96629.94,,50.0,0.0,,0.48,975000.0,11625.0,20.0,,,,,0.0
gas-bus,out,gas,gas,dispatchable,63.31,62.125,62.125,60.9375,64.505,71.671875,82.4225,82.4225,76.45,72.86625,71.671875,71.671875,71.671875,71.671875,71.671875,72.86625,80.03375,87.200625,88.395625,87.200625,88.395625,87.200625,80.03375,71.671875,,88.395625,60.9375,88.395625,1800.19375,23.4,0.0,0.0,,0.0,1.0,,,,,,88.395625,0.0,,,42124.53306328058
