bus,direction,asset,carrier,facade_type,Capacity,Storage Capacity,Storage Capacity Potential,Expandable,Investments
elec-bus,in,battery-storage,electricity,storage,0.0,0.0,100.0,1.0,0.0
elec-bus,in,demand,electricity,load,,,,,
elec-bus,in,electricity-excess,electricity,excess,,,,,
elec-bus,out,battery-storage,electricity,storage,0.0,0.0,100.0,1.0,0.0
elec-bus,out,gas-pp,electricity,conversion,50.0,,,0.0,
elec-bus,out,hydro,electricity,volatile,0.0,,,1.0,0.0
elec-bus,out,pv,electricity,volatile,0.0,,,1.0,0.0
elec-bus,out,wind,electricity,volatile,0.0,,,1.0,0.0
gas-bus,in,gas-pp,gas,conversion,50.0,,,0.0,
gas-bus,out,gas,gas,dispatchable,0.0,,,1.0,88.395625
