name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;resource_cost;profile;expandable;land_requirement_factor;ghg_emission_factor;water_footprint_factor;land_requirement;ghg_emissions;water_footprint;output_parameters
seawater-source;dispatchable;water;source;0.0;0.0;seawater-bus;0.0;0.0;;True;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
electricity-grid;dispatchable;energy;source;0.0;0.0;ac-elec-bus;0.2;0.2;;True;0.0;0.1;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.1, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.2}}"
wind-resource;dispatchable;energy;source;0.0;0.0;wind-bus;0.0;0.0;windspeed;True;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
condensed-water;dispatchable;water;source;0.0;0.0;service-water-bus;1.0;0.0;ac-discharge;False;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
water-truck;dispatchable;water;source;0.0;0.0;service-water-bus;5.2;5.2;;True;0.0;60.0;4.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 60.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 4.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 5.2}}"
precipitation;dispatchable;water;source;0.0;0.0;precipitation-bus;0.0;0.0;tp;False;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
diesel;dispatchable;energy;source;0.0;0.0;diesel-bus;0.2;0.2;;True;0.0;0.268;2.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.268, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 2.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.2}}"
groundwater;dispatchable;water;source;0.0;0.0;groundwater-bus;0.0;0.0;;True;0.0;0.0;9.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 9.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
bottled-water;dispatchable;water;source;0.0;0.0;drinking-water-bus;62.2;62.2;;True;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 62.2}}"
