name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;resource_cost;profile;expandable;land_requirement_factor;ghg_emission_factor;water_footprint_factor;land_requirement;ghg_emissions;water_footprint;output_parameters
solar-resource-pv;dispatchable;energy;source;0.0;0.0;solar-bus-pv;0.0;0.0;solar-irradiance;True;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
solar-resource-crop;dispatchable;energy;source;0.0;0.0;solar-bus-crop;0.0;0.0;solar-irradiance;True;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
wind-resource;dispatchable;energy;source;0.0;0.0;wind-bus;0.0;0.0;wind;True;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
diesel;dispatchable;energy;source;0.0;0.0;diesel-bus;29.0;0.5;;True;0.0;0.0;2.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 2.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.5}}"
precipitation;dispatchable;water;source;0.0;0.0;precipitation-bus;0.0;0.0;precipitation-profile;True;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
groundwater;dispatchable;water;source;0.0;0.0;groundwater-bus;0.0;0.0;;True;0.0;0.0;10.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 10.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
river-water;dispatchable;water;source;0.0;0.0;river-water-bus;0.0;0.0;river-flow-profile;True;0.0;0.0;5.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 5.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
river-flow;dispatchable;energy;source;0.0;0.0;river-flow-bus;0.0;0.0;river-flow-profile;True;0.0;0.0;5.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 5.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
bottled-water;dispatchable;water;source;0.0;0.0;drinking-water-bus;0.0;62.2;;True;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 62.2}}"
